date,S,E,I1,I2,R,beta_pred
2020-08-01,15650973.660536062,5063.135805718592,2681.0241110483244,2288.6355695956836,4129360.5512266867,0.4908043640137854
2020-08-02,15649651.317759562,5064.306017443344,2665.831249429055,2261.2599840997377,4130724.3022922357,0.49154537394320597
2020-08-03,15648315.569886811,5076.68250704243,2658.440715000203,2241.451262955516,4132074.881722964,0.4927623312777374
2020-08-04,15646966.38771917,5097.722558787866,2657.7845515541358,2228.550454508331,4133416.5881743976,0.49449704877261846
2020-08-05,15645604.643283635,5124.679194272638,2662.6648180764796,2221.7797222550025,4134753.272227188,0.49687376413629336
2020-08-06,15644232.093853487,5154.662920026588,2671.7692530562103,2220.249554420461,4136088.267756069,0.49972757893187547
2020-08-07,15642851.318816189,5184.730797177548,2683.696619679023,2222.970197153821,4137424.329227401,0.5027226547661334
2020-08-08,15641465.608180597,5211.997194676845,2696.993262608906,2228.869314386836,4138763.5782342004,0.505680971233464
2020-08-09,15640078.81128362,5233.75343531474,2710.19966964259,2236.8170063290527,4140107.4635706153,0.5084075707789809
2020-08-10,15638695.163641546,5247.57856255362,2721.902810402623,2245.657772985998,4141456.73931171,0.5108295140589538
2020-08-11,15637319.102680238,5251.4343098273785,2730.788936280173,2254.2473911085476,4142811.4644353413,0.5129991976537613
2020-08-12,15635955.081666365,5243.739220636164,2735.693240041385,2261.4920981269615,4144171.025918894,0.5150615139527003
2020-08-13,15634607.644157942,5223.1872247060655,2735.6237144272127,2266.385116483791,4145534.185196155,0.517190850347298
2020-08-14,15633281.3044373,5188.806981889991,2729.741273543695,2268.024256493575,4146899.1408503912,0.519453308924977
2020-08-15,15631980.099856699,5140.273678624904,2717.409180696543,2265.628551656551,4148263.5983766303,0.5218705900645405
2020-08-16,15630707.42033548,5077.900885535107,2698.2538690460706,2258.571787686246,4149624.8543940694,0.524494341694732
2020-08-17,15629465.926058456,5002.567564742132,2672.1828930936877,2246.4145336476204,4150979.9019737164,0.5273630775913034
2020-08-18,15628257.167624341,4915.931378234725,2639.407384086878,2228.9268747669985,4152325.5521075213,0.5304690818113207
2020-08-19,15627081.529971177,4820.275407346233,2600.485738984961,2206.1177072815963,4153658.5698133525,0.5336528308385842
2020-08-20,15625938.489845784,4718.147073267407,2556.2655119604105,2178.2464498729223,4154975.824225544,0.53691640709613
2020-08-21,15624826.648537666,4612.268970645514,2507.8132790442232,2145.80394823205,4156274.434250295,0.5400696950005877
2020-08-22,15623743.794215292,4505.444319202015,2456.3529999008542,2109.4787981237596,4157551.896090883,0.5426539331449968
2020-08-23,15622686.980391365,4400.470478088613,2403.2096642741303,2070.1176708309363,4158806.187300564,0.5444672931231096
2020-08-24,15621652.605914978,4300.071289600677,2349.759259743333,2028.6840549051658,4160035.845745791,0.5454777647312927
2020-08-25,15620636.4853124,4206.853656091962,2297.3871670892045,1986.2185617594373,4161240.0239991075,0.5458341082275637
2020-08-26,15619633.901564065,4123.2893569279695,2247.457101684515,1943.8034692805395,4162418.5212730626,0.5455702483422299
2020-08-27,15618639.644517304,4051.7133247801535,2201.2907598026077,1902.5335124692258,4163571.796303845,0.5452105180075142
2020-08-28,15617648.042284634,3994.3282782013844,2160.1560388702255,1863.493643377523,4164700.965347127,0.5450920416128784
2020-08-29,15616652.99603035,3953.2050677173047,2125.2605549135205,1827.7431463261855,4165807.7894145558,0.5449551966741009
2020-08-30,15615648.034410778,3930.2653629406855,2097.745991915977,1796.3043600689673,4166894.654070812,0.5447724491887136
2020-08-31,15614626.399604864,3927.240282638387,2078.6785436073606,1770.1533541390845,4167964.5436469372,0.5445024317479373
2020-09-01,15613581.160862548,3945.614580735803,2069.0327003233747,1750.2097064432862,4169021.0099360505,0.5441268842668854
2020-09-02,15612505.33834304,3986.575158866033,2069.669958196994,1737.323674248259,4170068.1339628156,0.5433193318174888
2020-09-03,15611392.041843342,4050.957680385854,2081.3156645938916,1732.260920741206,4171110.4790635863,0.5424837221054293
2020-09-04,15610234.639376609,4139.179086267814,2104.532455169663,1735.6849707143315,4172153.033893165,0.5419461275192331
2020-09-05,15609026.946305104,4251.167931628882,2139.6896664770825,1748.1369422815199,4173201.143810093,0.5413679657135274
2020-09-06,15607763.427183034,4386.299556136985,2186.931017048128,1770.0128369754652,4174260.4288912085,0.5408771357223976
2020-09-07,15606439.425616441,4543.321077965383,2246.140869837222,1801.5391215312782,4175336.6872265795,0.5406663766059158
2020-09-08,15605051.422831997,4720.268992072648,2316.9069432912784,1842.7463398177529,4176435.7824286837,0.5409408243444775
2020-09-09,15603597.29613072,4914.406511954286,2398.4824224547933,1893.4406872501415,4177563.5141586848,0.5413797560263666
2020-09-10,15602076.543183392,5122.20619134584,2489.7546230987873,1953.1754784737739,4178725.4710958726,0.5424673687882787
2020-09-11,15600490.443683656,5339.3919276426395,2589.2290724428867,2021.2266430968107,4179926.867730167,0.5444820381590402
2020-09-12,15598842.13797574,5561.044235256,2695.035956008953,2096.577444861526,4181172.3693262856,0.5466909034007847
2020-09-13,15597136.597063893,5781.77658096283,2804.9642039875494,2177.9174698286383,4182465.9125424586,0.5488817805560072
2020-09-14,15595380.471503098,5995.976505695204,2916.527046404353,2263.6604905736936,4183810.532034253,0.550942766886565
2020-09-15,15593581.811092714,6198.104405707139,3027.058546418178,2351.9842537564778,4185208.2056957977,0.5528631949663608
2020-09-16,15591749.662094506,6383.030353537364,3133.838884970589,2440.8933416686773,4186659.7325003087,0.5541495932446919
2020-09-17,15589893.616613979,6546.3334674576145,3234.2371101122694,2528.3033347640744,4188164.656830489,0.5554604794338649
2020-09-18,15588023.381783945,6684.514716911998,3325.8495217493537,2612.1386405646035,4189721.250255639,0.557350538679709
2020-09-19,15586148.384411402,6795.129479494452,3406.6181619137283,2690.432885333039,4191326.555416961,0.55921113298532
2020-09-20,15584277.454412656,6876.819184260489,3474.919207643682,2761.421669743373,4192976.489750599,0.561054241672144
2020-09-21,15582418.615249803,6929.242449201997,3529.6106282222495,2823.618214485153,4194666.000564907,0.5629398743687729
2020-09-22,15580578.941659315,6952.96442084694,3570.0406944162605,2875.8650773149393,4196389.257716319,0.564951530808621
2020-09-23,15578764.43502112,6949.357173939041,3596.030663466718,2917.3612729012,4198139.868023136,0.5664875223553094
2020-09-24,15576979.900726393,6920.521273818392,3607.846235681275,2947.6696871258105,4199911.097457181,0.5682088392329252
2020-09-25,15575228.850942278,6869.202345804741,3606.1641289707836,2966.7110025141865,4201696.091296956,0.5706111725321839
2020-09-26,15573513.462792965,6798.677906825031,3592.0313332875535,2974.7476760318345,4203488.085866566,0.5727797228305569
2020-09-27,15571834.600280173,6712.614672828767,3566.813213347251,2972.3585795188537,4205280.60654936,0.5745347606286875
2020-09-28,15570191.89185753,6614.910643721397,3532.13008238069,2960.40408476262,4207067.646459124,0.5758241327501441
